poi_id,name,category,lat,lon,address
goong_2HStcdMEc2hCi3wquSaIlm2gWheUXoORQrFGPK18g-lusG9RXmyp722zrRFkY63sdKKbUaVitXdGs5RQlGHteW2xTg2hX7rbd7NFUZNjk_q_dlYFpQWDVpYmhXuiTui6T,Chợ Chùa Hữu Định,market,10.2589586,106.4258738,"Chợ Chùa Hữu Định, Hữu Định, Châu Thành, Bến Tre"
goong_vfJOXk-Kl5t2k3eMP0Kx91uqUrxIR76LPXalWuC5rpadtiXyMTECDlWK4RbsyHrVrWrpCjhTglEZ1uG9GvWv5wm6VJbVJaI_bb6tdix17g4tukU69Nh3ii2y5RosyHPDL,Chợ cũ Phú Thuận,market,10.2747209,106.4918488,"Chợ cũ Phú Thuận, Phú Thuận, Bình Đại, Bến Tre"
goong_ZHqWk6Fed6GiQ1o-rlqA2LNDVhVGkXo-RoEM8E6Vwn-yMdmg2klqfzop2vzNeYa37PUVzBZu5k52MdV8Il1-ukbqTNRK5cqLgs3ZFUZNjkyqJdFb6pQWDBaF3Xi6TBOjT,Chợ Tân An,market,10.5388134,106.4131675,"Chợ Tân An, Phường 1, Tân An, Tân An, Long An"
goong_xQknj2h8jIy6lnsDcnOPjbygQQyybKL_Wq9joLFAjPZqAUWSvE0GM6l2gUU-MGbJo5JMqGqVulzVbykVevkC-CGuSdyqKbISiaKxaTox9y6VplkkauhrlnGu-QTGMG_fM,Chợ Cầu Kênh 14,market,10.3099553,106.5768099,"Chợ Cầu Kênh 14, Xã Vĩnh Hựu, Huyện Gò Công Tây, Tỉnh Tiền Giang"
goong_ASNgcDoVlsppjl67i1qllXREoZI2HWr3NLo1CRbkBvJ8ttloW5Geg6WmNWnebFZbkRrdgSpt3oJRzj0q-Dl2Q0X2JSqWPZJfgc7dBVZdzof5njVIBh3KXl3ClWirsAKHX,Chợ Tầm Vu,market,10.448001829000077,106.46747987700007,"Chợ Tầm Vu, Đỗ Tường Phong, Tầm Vu, Châu Thành, Long An"
goong_rniUCtvGjLV7mm8DvkGA73icayWgCePeYK1BAq1XpuZhrzY5kGm7v2Xu1TTjbJaWfdbZzCYIfUXxirEEohuuyfapOZBO8CIzUqpxKXoZsnPV5eFkKewqMnKqcUSGwC-fc,Chợ Cần Đước,market,10.5042115,106.6041167,"Chợ Cần Đước, Khu 1A, Cần Đước, Cần Đước, Long An"
goong_UGmfYamptnKsUGcOvoiQYaPCGKjq10JzgYpkmP6lJpoVknk1BhRWy8jmhfGCxck2CQ7D-LmCxSYNlx10nSmOE2XyxLkSpf5DrZKBWQrZwgOllmkUWgBaQgGeyTT2AF_vA,Chợ Thuận Đạo,market,10.62586432200004,106.48902524000005,"Chợ Thuận Đạo, Bến Lức, Bến Lức, Long An"
goong_pkK5Tq250n5uriUopWyixGm9dAy9QoSPa64hAY59j8ZuvGdLihufiljKSi3Jrf4_Wvst0NWZEtaZelXg2vodCQm-VdA6Mg7rVa69ZTW-Pj-ZqlaMZfxmfj2hKvTKPGPTP,Chợ Mỹ Tho,market,10.35728584100002,106.36804914200007,"Chợ Mỹ Tho, Võ Tánh, Phường 1, Mỹ Tho, Tiền Giang"
goong_p5dWdFx4QAZzsWYjuHOrlHeiPzGQYLfLuLNmNpZxe5Fxo341ppK_lQbVRFC6YY3udotEK6MFnpJv12FcvVTir5ni4Hm3WXZKTKLFHdXVhkfiRi6cHVJmBB3ajUyyRkerR,Chợ Đạo Thạnh,market,10.376204489000031,106.34446059500004,"Chợ Đạo Thạnh, Ấp Bắc, Phường 10, Mỹ Tho, Tiền Giang"
goong_h9lLt7BckaF8xSs0vEisymWyejtlS_r1szhLD6Jika1_hm4kq2KBZVCfYT2yWLiEZsRLD7xMr4JQn34lsliZxlGJci6ETJm9ZchXQ4FxqOhkm0QXtDxeBgWazTDyBFvrB,Chợ Tam Phước,market,10.2872704,106.3553525,"Chợ Tam Phước, Tam Phước, Châu Thành, Bến Tre"
goong_lguo9EROFGmLpFKkiM2qdsocex6OFqZo15ZdRbozqmzPuHOhibJpXvqXLmuOCK5s1ZZNerVK-2hqgEVpub6Qzo9FWLkHSvds44UZeeIgeiG2Ikk0evjWYb8i6RR-IMfNs,Chợ Bưng,market,10.4130072,106.3057253,"Chợ Bưng, Tam Hiệp, Châu Thành, Tiền Giang"
goong_gFhfgzTz94hZkE1LuUOq0m644Qr5PaPPXRbppuLV6McOkZ176thxKiJeoc0q9eLb_drlRE45oiOF2lk1Jj3emoXXPXTdsVeOObKheSoR4iOFtkk0evh5oiG-6RTWImB_I,Chợ Thanh Bình,market,10.4138107,106.4114468,"Chợ Thanh Bình, Thanh Bình, Chợ Gạo, Tiền Giang"
goong_REvpmxVhsWNRsVtGsZ-dxlFNXESyt_JMZ4HnR5iijXFrFi8zhMfyyGZxbh6wiYGhV6hXDID6hvJ9FEQDt8ez9nxLTDW2oa_oZThlcYFDgehXDF2QXt7ORgWYWTDyBrfrB,Chợ Long Định,market,10.400827983000056,106.25439742000003,"Chợ Long Định, Long Định, Châu Thành, Tiền Giang"
goong_v7yd7nF8pWmVuW4ycXe16WuZQCGTeq_RddNACqN0mfV2p2ITkPAO34kOmWBaiSCzFRbZYhaNno9Bw01xTKXSSlkOkPxS-dIWRcbVDV5Vllfxwj1ADowOFlXKnWCiVAu7V,Chợ Bình Tây,market,10.357386782000049,106.52858247000006,"Chợ Bình Tây, Thạnh Nhựt, Gò Công Tây, Tiền Giang"
